DATE (MM/DD/YYYY),HOUR-MST,Avg Global LI-200 [W/m^2],Avg Cabin Temp [deg F],Avg Lower Temp [deg F],Avg Relative Humidity [%],Avg CR10X Battery [VDC]
1/11/2018,13,527.7333,45.4658,59.9667,26.6617,13.3883
1/11/2018,14,480.1583,46.4292,59.9550,25.4283,13.1958
1/11/2018,15,367.6333,47.0658,59.9708,26.3158,12.9567
1/11/2018,16,220.8917,47.5183,60.1108,26.3683,12.8542
1/11/2018,17,57.6841,47.5992,60.3400,26.0283,12.7300
1/11/2018,18,0.5788,47.0033,60.6567,31.8350,12.6283
1/11/2018,19,-0.0317,46.5417,60.7917,33.9683,12.5950
1/11/2018,20,-0.0306,46.1008,60.9200,35.4850,12.5775
1/11/2018,21,-0.0253,45.4842,60.7767,35.7233,12.5600
1/11/2018,22,-0.0218,44.9408,60.6908,37.0575,12.5433
1/11/2018,23,-0.0262,44.3892,60.6250,39.5067,12.5233
1/12/2018,0,-0.0275,43.9792,60.4533,44.9992,12.5050
1/12/2018,1,-0.0252,43.5142,60.2833,45.6483,12.4842
1/12/2018,2,-0.0153,43.2633,60.1333,48.2267,12.4675
1/12/2018,3,-0.0232,43.0625,60.0942,50.7500,12.4450
1/12/2018,4,-0.0283,42.7775,60.0458,56.8450,12.4275
1/12/2018,5,-0.0238,42.5933,59.9308,60.8675,12.3958
1/12/2018,6,-0.0212,42.4917,59.8750,66.4417,12.3758
1/12/2018,7,-0.0199,42.3683,59.8317,68.3208,12.3492
1/12/2018,8,13.9432,42.2675,59.7333,70.3567,12.3617
1/12/2018,9,22.5683,42.2400,59.6900,70.6058,12.4367
1/12/2018,10,77.8200,42.3433,59.6117,68.1300,12.7642
1/12/2018,11,386.4500,43.3600,59.4550,51.7558,13.3633
1/12/2018,12,506.0167,44.5617,59.3325,47.2825,13.3900
1/12/2018,13,518.9917,46.0092,59.4150,49.0650,13.3992
1/12/2018,14,498.9083,47.4608,59.6500,38.9783,13.4025
1/12/2018,15,380.9500,48.5333,59.9458,33.9183,13.3942
1/12/2018,16,220.7417,48.7017,60.2200,34.1475,13.3500
1/12/2018,17,81.4917,49.0875,60.5950,31.9233,13.0842
1/12/2018,18,0.7959,48.5750,60.9317,41.8050,12.7025
1/12/2018,19,-0.0278,48.0167,61.1042,48.1992,12.6300
1/12/2018,20,-0.0208,47.4542,61.1967,51.2333,12.6042
1/12/2018,21,-0.0260,46.9025,61.1958,53.1692,12.5850
1/12/2018,22,-0.0221,46.3892,61.1850,55.8608,12.5700
1/12/2018,23,-0.0208,45.8700,61.0842,61.1250,12.5533
1/13/2018,0,-0.0187,45.3233,60.8817,58.8800,12.5400
1/13/2018,1,-0.0176,44.8500,60.7108,49.6900,12.5233
1/13/2018,2,-0.0181,44.4942,60.5200,47.5925,12.5067
1/13/2018,3,-0.0203,44.0717,60.4667,48.0475,12.4917
1/13/2018,4,-0.0194,43.6325,60.2942,46.4292,12.4758
1/13/2018,5,-0.0194,43.2108,60.0808,45.1575,12.4583
1/13/2018,6,-0.0182,42.8833,59.9483,43.3850,12.4433
1/13/2018,7,-0.0015,42.5875,59.8550,43.2117,12.4217
1/13/2018,8,14.0438,42.3542,59.6517,43.7275,12.4150
1/13/2018,9,45.0417,42.2117,59.5367,44.8850,12.4600
1/13/2018,10,319.7583,42.5258,59.5317,40.3967,13.2542
1/13/2018,11,464.5417,43.4942,59.5392,36.9225,13.3617
1/13/2018,12,558.5750,44.6392,59.5033,30.9017,13.4000
1/13/2018,13,616.4417,46.4125,59.5842,28.0350,13.4000
1/13/2018,14,494.7083,47.7725,59.6500,31.1442,13.4033
1/13/2018,15,359.4500,48.6767,59.7483,33.2900,13.2692
1/13/2018,16,257.9833,49.4392,59.9958,33.0033,13.1183
1/13/2018,17,101.7422,49.7208,60.4750,35.0942,13.0442
1/13/2018,18,0.5598,49.2292,60.8575,41.2842,12.6875
1/13/2018,19,-0.0203,48.6850,60.9867,42.9508,12.6200
1/13/2018,20,-0.0228,48.2425,61.0817,43.0617,12.5975
1/13/2018,21,-0.0240,47.8758,61.2333,48.7033,12.5817
1/13/2018,22,-0.0227,47.3408,61.3158,51.7983,12.5667
1/13/2018,23,-0.0204,46.8150,61.3183,54.5292,12.5525
1/14/2018,0,-0.0241,46.3383,61.2208,54.9933,12.5383
1/14/2018,1,-0.0218,45.8683,61.0875,54.7517,12.5208
1/14/2018,2,-0.0193,45.4050,60.9725,53.8833,12.5050
1/14/2018,3,-0.0185,44.8200,60.8150,51.3650,12.4858
1/14/2018,4,-0.0180,44.2658,60.6975,42.4392,12.4717
1/14/2018,5,-0.0153,43.8333,60.5608,41.9092,12.4525
1/14/2018,6,-0.0151,43.4392,60.3958,38.7742,12.4358
1/14/2018,7,-0.0049,43.0925,60.1792,33.2458,12.4100
1/14/2018,8,12.6982,42.7983,60.0892,32.9475,12.4000
1/14/2018,9,140.1450,42.6092,59.9975,33.1950,12.6892
1/14/2018,10,365.8167,43.3742,59.8117,26.4467,13.3475
1/14/2018,11,423.7583,44.2033,59.7800,22.6000,13.3908
1/14/2018,12,545.1833,45.1433,59.7600,19.1375,13.4000
1/14/2018,13,555.4917,46.8042,59.9700,17.1383,13.4000
1/14/2018,14,492.5333,48.5542,60.0883,16.5917,13.3575
1/14/2018,15,390.5167,49.8917,60.1575,15.8642,13.0850
1/14/2018,16,241.5583,51.0967,60.6525,16.4783,12.9608
1/14/2018,17,70.1442,51.6700,61.1550,16.8375,12.7825
1/14/2018,18,1.0243,51.2325,61.4583,22.5733,12.6475
1/14/2018,19,-0.0309,50.5058,61.6892,26.3308,12.6117
1/14/2018,20,-0.0253,49.7533,61.7492,27.6542,12.5933
1/14/2018,21,-0.0265,49.1300,61.8475,27.1167,12.5758
1/14/2018,22,-0.0277,48.5500,61.8975,25.4492,12.5650
1/14/2018,23,-0.0274,48.0667,61.8600,24.3892,12.5475
1/15/2018,0,-0.0289,47.5908,61.8150,23.8383,12.5317
1/15/2018,1,-0.0273,47.0808,61.7175,24.0075,12.5133
1/15/2018,2,-0.0204,46.5992,61.6492,26.0533,12.4942
1/15/2018,3,-0.0268,46.0950,61.5200,26.9600,12.4725
1/15/2018,4,-0.0226,45.7633,61.4442,28.4242,12.4575
1/15/2018,5,-0.0222,45.4975,61.2558,32.5567,12.4358
1/15/2018,6,-0.0155,45.1433,61.1258,34.4650,12.4117
1/15/2018,7,-0.0020,44.7317,60.9942,36.0650,12.3892
1/15/2018,8,7.9958,44.3175,60.7908,42.3867,12.3750
1/15/2018,9,92.4617,44.0458,60.5592,59.5167,12.6433
1/15/2018,10,260.1167,44.1608,60.3225,55.7983,13.3600
1/15/2018,11,413.0167,44.5183,60.2042,47.7825,13.3917
1/15/2018,12,373.9750,45.2025,60.1617,42.6883,13.3975
1/15/2018,13,532.8000,46.2567,60.1675,40.0633,13.3992
1/15/2018,14,551.5750,47.7408,60.1000,32.0792,13.3958
1/15/2018,15,404.4083,48.9250,60.1842,31.4392,13.1408
1/15/2018,16,251.4250,49.8133,60.4733,30.5583,12.9400
1/15/2018,17,82.1197,50.3183,60.8958,32.8050,12.8300
1/15/2018,18,0.7108,49.7142,61.1975,52.3083,12.6567
1/15/2018,19,-0.0278,48.9583,61.2658,52.4250,12.6133
1/15/2018,20,-0.0248,48.2317,61.2417,53.9475,12.5925
1/15/2018,21,-0.0209,47.5242,61.1067,56.2025,12.5725
1/15/2018,22,-0.0231,46.7417,60.8925,58.7342,12.5625
1/15/2018,23,-0.0211,46.0000,60.6467,63.7300,12.5450
1/16/2018,0,-0.0218,45.3067,60.3675,62.2783,12.5300
1/16/2018,1,-0.0224,44.6000,60.0217,60.9325,12.5083
1/16/2018,2,-0.0223,43.8942,59.7375,58.8175,12.4908
1/16/2018,3,-0.0238,43.1608,59.4200,54.3267,12.4708
1/16/2018,4,-0.0214,42.3733,59.0250,52.4142,12.4533
